Title,Video Link,Summary,Doc,Status,Catergory,Spanish,Date,Autor,Category,Description
Влияние эмоций. Стресс и выгорание,https://www.youtube.com/watch?v=H_GNlv70WeI,"Как эмоции влияют на наш корпус, энергетику и физику и как можно избежать стресса и выгорания?",https://docs.google.com/document/d/1dajairnLi8Ih63NUdFu9dDJT5BDwICJCzBDJrrGDAG8/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1z_8KGFL5dk1D1TQsgvAav0xs_Od56UPptmUr3TSkXs4/edit?usp=drivesdk,7/21/2022,Танюша,,
Квантовый Переход. Тело планеты,https://www.youtube.com/watch?v=s64L9hLGqrg,"Каков последний сценарий, в котором планета проживает, и какие аспекты нам следует учитывать при рассмотрении новых пространств для воплощения?",https://docs.google.com/document/d/1vW2bfhmzff0I3k4F_r1ojtHTdQsTkFtZvqlVB3xlZXs/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1MXLcNmLiTAknBonz_6Yx5oseM09i3eT5MnKKAZWfkMY/edit?usp=drivesdk,7/12/2022,,,
Принятие решений,https://www.youtube.com/watch?v=nlXNDXTzflM,Как принять решение и жить с его последствиями?,https://docs.google.com/document/d/1PQU19Mn_CHQ4Uq8UGZYAWn27_S5Ed8d-t_1K7ZLh0Pg/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/12MEWppQfWoVGPt99ExDm748giWMBQyxtf2EAiqVdvaM/edit?usp=drivesdk,7/11/2022,,,
Церемония с Тое (Дурманом),https://www.youtube.com/watch?v=SbiEAcXh0L4,"Основной вопрос текста: Что происходит с умом, разумом, душой в церемонии с Дурманом (Тоэ)?",https://docs.google.com/document/d/12U2Qd0xqtLzLir2zZE46usKTVAEx9Xo_IvYoCYh50WE/edit?usp=drivesdk,Done,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1sn8-Mf3LJ2QoCTDjr5Qz0WXVow-RpdUInJhLGvvpIfs/edit?usp=drivesdk,6/22/2022,Алина,,
Переедание. Пищевая зависимость,https://www.youtube.com/watch?v=cn2LgonQOt4,"Каким образом можно отрезать внимание от еды, чтобы она не влияла на нас?",https://docs.google.com/document/d/1x9myBujXgWHhUBWkTHjpwcNgduAY871otnMYM4RBqzU/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1L5wep_zH-l8gihpqa7hEmbT18GOmGC42IQsADmWDau8/edit?usp=drivesdk,6/19/2022,,,
Что такое страх. Реакция на опасность,https://www.youtube.com/watch?v=is2jvlI0l4g,"Какова природа страха и его отношение к инстинкту выживания, и как мы можем минимизировать его влияние на нашу жизнь?",https://docs.google.com/document/d/1dN1yYv8YEWff4jmsl3j1sQaFQxiMsJjJ606EtodoxZo/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1n9c1D2ipYpnIXrMr5p4L_y5ki4BOzpDVGLJmyGiaDKA/edit?usp=drivesdk,6/18/2022,,,
"Что такое желание, намерение и вдохновение",https://www.youtube.com/watch?v=K3LKh5aTbzY,"Как мы можем помочь детям, которые были травмированы эмоционально и физически, и как изменить привычные парадигмы воспитания и воспитывать их в других ценностях и уберечь их от негативных воздействий современного мира?",https://docs.google.com/document/d/13obq1-kq_17atHfgggc8FwYdmqy4O5aNJ_vaki-FhEg/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1kBsLccYfcYkprHPQVSburzK7aNFeJC0TE6XLEr_vYRg/edit?usp=drivesdk,6/17/2022,,,
Ностальгия и тоска,https://www.youtube.com/watch?v=ZvtSNVuKfv0,Как использовать воспоминания как источник мотивации и силы в настоящем моменте?,https://docs.google.com/document/d/1niEWoNYRTQW8Vn8OM9FQ7KHnijY8Ky9CkfctRTCIKLM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1nm7vCwYMalivPto54TxC1EnTaE7rd5p8pPHIpiLzF04/edit?usp=drivesdk,6/17/2022,,,
Процесс умирания. Мутация и регенерация,https://www.youtube.com/watch?v=jbCWcA3Md7o,Как процесс умирания и регенерация человека можут быть поняты с точки зрения сакральности жизни и исключения страха смерти?,https://docs.google.com/document/d/10jxGN6y9KHeD8sW0b5JvgJEJPBd4h5QIzV10Tgb651A/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1TUbUlHw5bwN681t80y_-5ziLnfdv4gleq0j0x55SXXk/edit?usp=drivesdk,6/16/2022,,,
Как услышать себя. Фантазии и Сакральное,https://www.youtube.com/watch?v=QedE-jYZye0,"Как разбираться с сообщениями из своего подсознания и прошлыми событиями, чтобы жить в настоящем и служить всему, что есть в настоящем.",https://docs.google.com/document/d/1tA95O2bBRn0u0see7aOEHf4-FtHHipKkOS-NEzkBjP8/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1WNFpvbA5rCX_I7cvT0m6vKGEYuwcGznAez06sCgehO4/edit?usp=drivesdk,6/13/2022,Алина,,
Что такое жить просто. Чувствовать или думать,https://www.youtube.com/watch?v=jrvTHZxX_2w,"Какие основные принципы простой жизни обсуждаются в тексте и как можно достигнуть внутреннего покоя, чувствуя, а не думая?",https://docs.google.com/document/d/1FWQKsO64HuIqx45FJt2_iT1kjjDJC-2cVkp92WMj-NQ/edit?usp=sharing,Done,Внутренние развитие,https://docs.google.com/document/d/1op_B57xegCbHnD4VihULxtlg2Rac4N8edvGXzuToG6k/edit?usp=drivesdk,5/29/2022,,,
Что такое медитация. Как работать с умом,https://www.youtube.com/watch?v=31kMf6ao0fo,Какова истинная природа медитации и как она помогает достичь гармонии с умом и равновесия в жизни?,https://docs.google.com/document/d/1zgfJkyv3Y7d3l_vX0xRPVlCK5K6HByDjnyBX-nJbxE4/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1hLcTYTKVgl9zddQwA9Zcyl6UkSQAXJGhEq6Ch6yPm88/edit?usp=drivesdk,5/26/2022,Шкарубо Лена,,
Прошлые жизни. Жизнь после смерти,https://www.youtube.com/watch?v=tA3jTznZ2O8,Основной вопрос текста: Как наша нынешняя жизнь связана с прошлыми жизнями и какие уроки мы можем извлечь из этой связи?,https://docs.google.com/document/d/1QcBbrhnjtgdR3f7qp1ShD_HucPHZW1ZPqlzvUBld5CE/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1bkbUm9CvL9-sUlmZ9zx3hiVlth5-kcyYak_FEzKLeyw/edit?usp=drivesdk,5/22/2022,,,
Энергетическое состояние растений,https://www.youtube.com/watch?v=VmHnuaZ3N1M,Как изменяется энергетическое состояние растений со временем и влияют ли эти изменения на их воздействие на человека?,https://docs.google.com/document/d/14Y3h8aaMMAkOEk2enQGahl28E4_2dOazetsPcjHTbK4/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1whCQp9oJ-imw9ZailINRaFy7mNlOn27gEBRibD5mTa8/edit?usp=drivesdk,5/21/2022,,,
Камень Кумпанама,https://www.youtube.com/watch?v=fJe-DO85b-w,"Основной вопрос текста: Что представляет собой камень Кумпанама с петроглифами, какова его энергия, и какие цели стоит преследовать, посещая это место?",https://docs.google.com/document/d/1oeGiF3FPuPOiopoJpXDT6cOh62pC1Qpd1Ff8HYpKYKw/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1gRvfHyErOJdMRssLxO9l67i27OsHpNYYLZe9tLK0fIA/edit?usp=drivesdk,5/18/2022,,,
Ожидание благодарности. Служение и потребительство,https://www.youtube.com/watch?v=99F_DIHnTmQ,Как сохранить баланс между служением и ожиданием благодарности?,https://docs.google.com/document/d/1Ayhqa_oUbEZ2qDXcuR3AAM4hAf7FboowJAyH0Q8_PmA/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1HE6Ar7164cRxQ8fYcAiZ23vZA1q7suTZFKZU016zbFU/edit?usp=drivesdk,5/11/2022,,,
Понимание жизненных уроков,https://www.youtube.com/watch?v=lEFJA59v2bU,"Каково значение событий в жизни и как их трактовать правильно, чтобы извлекать уроки и роста, живя в потоке жизни?",https://docs.google.com/document/d/1gjvBdoa7tOZ6UVXExaPrrgRMYaCqPO1I0GNn5epGqy8/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1uadFCEVF1bIbj3Lo_NhWCQKfubAujATWPgGl0E12KRo/edit?usp=drivesdk,5/1/2022,,,
Про карты Таро,https://www.youtube.com/watch?v=lXqW2xPMefc,Основной вопрос текста: Можно ли использовать карты Таро как инструмент и какие последствия это может иметь для человека?,https://docs.google.com/document/d/16Ofc8feU5Yv9xGp8u5-JC9CTr6Cw4gqaco5nRaR3s9Y/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1jPTkfIRcvEWNsS96wBkNPrcRdMhfYut8vNf4NKGRUXE/edit?usp=drivesdk,4/10/2022,,,
Голос эго или зов вселенной,https://www.youtube.com/watch?v=EVclx2ny1cQ,"Как отделить голос эго от зова Вселенной и выбрать путь служения, который соответствует вашей истинной миссии?",https://docs.google.com/document/d/14psIZtW1ghLiigIUcPXYCHzjDuuXm03nDAgZ8jksfWc/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1XDhA_kk1KHxLI6Zrf4kS5B-r6p1TqMJDvaCiuqGb9vc/edit?usp=drivesdk,3/30/2022,,,
"Духовные проводники. Гипноз, таро, акаши",https://www.youtube.com/watch?v=eIDqQE2yJL4,Основной вопрос текста - является ли гипноз интервенцией в подсознание и каким образом он может быть использован для излечения психологических травм или изменения внутреннего кодика человека?,https://docs.google.com/document/d/1HtPcEaEtaXWFDYECfUO8bxryrrOzvhHU7pMuZJWVSyY/edit?usp=drivesdk,Done,Целительство и Энергетические практики,https://docs.google.com/document/d/1uNKaQaSzVMhuxE0r_CoajGTTVyf08qFIdaQurdkcp7U/edit?usp=drivesdk,3/27/2022,Алина,,
Где границы во вселенной,https://www.youtube.com/watch?v=zRUCdJwWo_A,Какова природа границ во вселенной и как они влияют на наше сознание и существование?,https://docs.google.com/document/d/1Tep-leEcC6X9AamDZ2LKBdkDZ2utHJDpBqMOxN3fYkQ/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/15gOW0KA1c5zVm6XMFX1MgC6NIVIUtDchiFdJy9E7TRc/edit?usp=drivesdk,3/27/2022,,,
Геополитика. Разрушительные силы,https://www.youtube.com/watch?v=7R-7-_15V6w,Ошибка,https://docs.google.com/document/d/1TXbD4mINe7lDd1YVJJPRt6vEmSDgaZk4ic1GrCP6VxM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/16Q4Hun8BtgZgkah59s8gxYRL7jU0hlkerqIF3Chiync/edit?usp=drivesdk,3/26/2022,,,
Воины света. Дуальность и совершенство вселенной,https://www.youtube.com/watch?v=YYE26293eQg,Основной вопрос текста: Нужно ли бороться с дуальностью тьмы и света или просто быть светом и нести покой в мире?,https://docs.google.com/document/d/1MUhcX4Jxu8XWt9UbGPpzPJxCbPyNof4Zw9m9PeKECNE/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/11PoMi6l1MtlbQSEtKYoqgMty8Czp75CS_srXEIF6w2Q/edit?usp=drivesdk,3/15/2022,,,
Энергетическое целительство. Тета-хилинг,https://www.youtube.com/watch?v=9qk_aKv7qB8,Как работает энергетическое целительство и насколько безопасно это для людей?,https://docs.google.com/document/d/1xK24W3y0hD7VOzXE0b-goPFPV1upO9b3-Q3SFbfxHbU/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1EAZAKXhRVTLgGKZ1lEHR96DPcJIsOKW0Q3dMk5SV3qA/edit?usp=drivesdk,3/14/2022,,,
Любовь к себе,https://www.youtube.com/watch?v=bt0EIRXjsE8,Основной вопрос текста: как достичь баланса между любовью к себе и служением другим?,https://docs.google.com/document/d/1BwZcxgzA-yyogIvoxFD8NePBfecAT9GUw2uj0m_DzQw/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1W7EHqbG3bju2ySpFLL7ZKzhd_k7RRAnDRWIbMaAtrUg/edit?usp=drivesdk,3/7/2022,,,
Театр. Что такое счастье. Как жить в моменте,https://www.youtube.com/watch?v=lEgdxTmj_OI,Какое понимание счастья даёт театр и какие выгоды он приносит?,https://docs.google.com/document/d/1Wgpq8tMB6WseMPfyhsh_zKA4fnBVT3yNl8UWb2kI6xY/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1SaRm7QpmV8xhrpzSqsuumDH7-lh7ct9wAzD72CYmHEw/edit?usp=drivesdk,3/7/2022,,,
Гармония в отношениях. Принять или исправить,https://www.youtube.com/watch?v=rQSkBGLCq_U,"Как правильно поддерживать гармонию в отношениях - принимать другого таким, какой он есть или исправлять? Как найти золотую середину и служить в паре взаимно?",https://docs.google.com/document/d/14x901iQGcAlVFa5fBcCYav-VKs90OvFfLuoQVc5PVkE/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1fPQdCHBKxS9fA_IahvjvMjM5Hg47eh0A2Mox4pxZwFQ/edit?usp=drivesdk,3/4/2022,Шкарубо Лена,,
Иметь или не иметь детей,https://www.youtube.com/watch?v=nVhkt3vAjg4,Основной вопрос текста: Иметь или не иметь детей - какой выбор соответствует вселенским законам?,https://docs.google.com/document/d/1yuFHb73bfVZSUvzAUpKs1xdQ1O3z6gAl92_t5tqmt-Q/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1in7Pr8IK81m8ATntWoFl8GZpb_7ZsCbN-u6e1L4KkRE/edit?usp=drivesdk,3/3/2022,Шкарубо Лена,,
Принятие или сопротивление,https://www.youtube.com/watch?v=5hyygRGZQhI,"Как определять отличие между принятием и сопротивлением в различных ситуациях, основной вопрос текста.",https://docs.google.com/document/d/1jGsQcrqzuDT80YtuuNyUr7DgYbKPwbvOZCY92BIdD5c/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1fzuh-pX0BHF45_yRIHyoKYh03SY1wGoK2bmS9i3epYg/edit?usp=drivesdk,3/2/2022,,,
Проявление божественной силы через человека,https://www.youtube.com/watch?v=NUzbGtIQKZI,Как проявляется божественная сила через человека и какое послание нам передает это проявление?,https://docs.google.com/document/d/1qVATyMzqxHYnFTXMFbRYDQapbrK5O7AgRUCBh2nJ7b0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/16lE-b6R5XbD1RpYTlKUMMuSfPdyq3nRGnThCQKCq9xg/edit?usp=drivesdk,3/2/2022,,,
Как распознать манипуляции,https://www.youtube.com/watch?v=jf5SzK11-Xg,Как распознать манипуляции и как отличить развивающие сообщения от манипуляций?,https://docs.google.com/document/d/1J0Xnp5rAjbkvrib_XuD-YcJwTs_YtdNu0RL5g8HC4Ys/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1UVKS3UfRoWcshrnpGqxArRoSXhIOlBSBt1OhNH--zAM/edit?usp=drivesdk,3/1/2022,,,
Что такое смерть. Уход любимых,https://www.youtube.com/watch?v=J5AJUaNQpzI,"Один из основных вопросов текста - ""Что такое смерть и как правильно принимать уход любимых?""",https://docs.google.com/document/d/1Xw5TyvNDV_YluoTST7jGvYlkXtYaVbG22bWk1kM3dW4/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1-ghNU-Dxw81_eTlaz-TPuxUHuEagutPJIHsYPOnDj9A/edit?usp=drivesdk,2/28/2022,,,
Аяваска шаманы. Практика Рапэ,https://www.youtube.com/watch?v=Uwj3GljUCx4,Основной вопрос текста: Как воспитывать аккуратность в использовании айаваски и других ритуальных ингредиентов для избежания негативных энергий и манипуляций?,https://docs.google.com/document/d/1I-bVG90-HJc_DdP-7dXEzuiuZcOzM_rWn8YRGFFD6fg/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/182GBwX0qL-Iz09_Py9sqEprGrTIuiTYff4EbT0BHA9Y/edit?usp=drivesdk,2/28/2022,,,
Отношение к событиям в Украине,https://www.youtube.com/watch?v=uyNy3yeO1Vw,Как балансировать между состраданием и силой в ситуации с ужасными событиями в Украине?,https://docs.google.com/document/d/1PbfTdNCsXoe1n3JZihX3Rsphcq6mIC39YdsylCQjvEM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1OaAzxSlfe87OvRN00SEkNYqLqLB2IeBckLit9Qk00TQ/edit?usp=drivesdk,2/25/2022,,,
Цивилизация которая разрушает человечество,https://www.youtube.com/watch?v=JGGv0RuJEIg,"Какой процесс начинается, когда мы начинаем забывать сакральное начало и отключаемся от своей эссенции?",https://docs.google.com/document/d/1BEzLJUMvsfSZAQRiYjNNx03X8bMHAspTK0P-1sESA2Y/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/10sFhh8G5aIXGtlLx4fzbvtscwszKquZ7BofAwWMGJLQ/edit?usp=drivesdk,2/25/2022,,,
Мера и форма служения,https://www.youtube.com/watch?v=D227mFkTKnA,"Как контролировать лимиты службы и защиты при взаимодействии с близкими людьми, чтобы избежать негативных последствий?",https://docs.google.com/document/d/1rcAkUqtUcpeMg7t2iKK1zWmrpqOlqC4j_OmIMS_kSZk/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1X3KqUcj0zqxs-prL9EJ9Ym7W2YvVmFoTA4rOjs6Lb9Y/edit?usp=drivesdk,2/25/2022,,,
Служение сакральному началу и технологии,https://www.youtube.com/watch?v=v-XRiPg7GC0,"Каков основной выбор перед человечеством: остаться в матрице общества или перейти в другое измерение, соблюдая сакральное начало?",https://docs.google.com/document/d/11Kh4BfYbXkief32N84rbtKh1UcLAhS3hYE-rY81kYtM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1VCFoIuqgABaI57jw9JDPv4KbN_AmsHxBQliMbc8FUho/edit?usp=drivesdk,2/24/2022,,,
Лечение наследственных заболеваний растениями,https://www.youtube.com/watch?v=MbWbBiM_2Ng,Какие механизмы наследственности влияют на развитие заболеваний и как растения могут помочь в лечении наследственных болезней?,https://docs.google.com/document/d/1n0qmR29bRNxjAmPZebvr1tHFihHvQ5v5GZByp88r2m0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/11YzJ7xARysIwD2zBgIVqu_3tBvtDAw1RmWsAXDOyKjI/edit?usp=drivesdk,2/24/2022,,,
Избыток холода в теле. Адаптация к холоду,https://www.youtube.com/watch?v=rb7tgw5F_P8,Как работать над адаптацией к холоду и как достичь равновесия между горячей и холодной энергией?,https://docs.google.com/document/d/1_7dcQn7Ozk5CmOdz-mTQfOaJtXQ31z4yF5owZ13U2f0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1bTr5EqvZfMq2NLpiaX1cDCYxYXRPSa4P0UpaDnsirG0/edit?usp=drivesdk,2/23/2022,,,
Как контролировать мысли,https://www.youtube.com/watch?v=VK9wRvLS1hI,"Как контролировать навязчивые мысли и обуздать их, чтобы достичь покоя и приятия?",https://docs.google.com/document/d/13luyT8ZeAFKqjw8Z7TEJVp3Jdr4D-9HpLMoleE6G45Q/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1GRLLPSY1rcSM5nwpHYUXGXuguAIpEBstkPU_RhJwItE/edit?usp=drivesdk,2/23/2022,,,
Лимфатическая система,https://www.youtube.com/watch?v=PhSw8xIDHyk,Как улучшить состояние лимфатической системы и какова ее роль в нашем организме?,https://docs.google.com/document/d/1T-mIsxe9DjGO7J1FcCY7kmgrajD8KAzIPPyzKwDPZKM/edit?usp=drivesdk,Done,Здоровье и Питание,https://docs.google.com/document/d/1-M7rKK2d_WxYSl9ooRNTAC9hTGrS8u3Qxbb6h-mgwgA/edit?usp=drivesdk,2/23/2022,Шкарубо Лена,,
Про питание. Высокие вибрации,https://www.youtube.com/watch?v=SU40-ifFKRQ,"то это уже не сакрально. Важно, чтобы решение о питании было принято изнутри, на основе чувств и потребностей тела, а не из-за влияния моды или ума.",https://docs.google.com/document/d/18D_t-y_h81P9O8RzdWx91nj_wbHk4VhJHNdesusH39Y/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1Dpvc--nfqlAjGh5ZIaklgYlFp6Qw6TAcnnjuEQQloIw/edit?usp=drivesdk,2/22/2022,,,
Сексуальные отношения,https://www.youtube.com/watch?v=P0i5BcCatNE,Ошибка,https://docs.google.com/document/d/1zYp0gLgDbbKZdVKYEAKmi1e6Gz2lSG1ZT5CznNGSHw0/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1x4VXHPnak9mpazhFJEf-G3-NW9ykcwCZoaiffHUZtng/edit?usp=drivesdk,2/21/2022,Шкарубо Лена,,
Как получить ответ в церемонии с Аяваской,https://www.youtube.com/watch?v=yvVn3I50vbg,Как получить ответ в церемонии с Аяваской?,https://docs.google.com/document/d/14JhZbRE_QO3n5lJUaPvTyD660RUYK6bKYsTykzlKHmI/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1DwJiIkaq8R9MalmulOiQs0ljlgV-UcvnkB5mTG5lj6g/edit?usp=drivesdk,2/21/2022,,,
Зависимость от денег,https://www.youtube.com/watch?v=lCYe9lyI-50,"Каким образом можно избавиться от зависимости и страха по поводу денег, чтобы начать делиться и поддерживать коллективные проекты в сакральном мире?",https://docs.google.com/document/d/18H3vGvkchmZi-4ZAP4AbEajha2r4TE5X9dPmpQ7kW3o/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1XKI132YMC5BeIRwusZotJmIfcaeJNZFp7yoQIpNCR30/edit?usp=drivesdk,1/14/2022,,,
Миссия Пепе. Вселенские послания,https://www.youtube.com/watch?v=F5Kv4obm83Y,Какова миссия Вселенских посланий и как через них приходит пробуждение сознания на планете?,https://docs.google.com/document/d/1Pq6LJAUlqFoX_wnIcpzSrnv9I-NvV6nQFnl6c1fo6Ak/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1vUYvDKt8Kfukxk-jR3eQv4lP8ddDM1L9VcR5Q98BLWA/edit?usp=drivesdk,1/8/2022,,,
Как распознать настоящую миссию,https://www.youtube.com/watch?v=a6kkA0n0nKM,Ошибка,https://docs.google.com/document/d/1_ie1tD6ndqEmHjGImkFXW1b_kzfAVDOU1EJIVvrUgtU/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1BoEfanH-hCpALbG1JC8VfqV90jhaCpLvHXUwMO4TRwQ/edit?usp=drivesdk,1/4/2022,,,
Расстановки по Хеллингеру,https://www.youtube.com/watch?v=WDvCn7ofEIo,Основной вопрос в тексте: Как семейные констелляции могут помочь расширить сознание и принять происходящее в мире?,https://docs.google.com/document/d/1C3tpV45RgxdhiZVo-dBN_Odg0yWz52pHVcbTt6zXQXg/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1A96f8CSBhyGBYr1kNnHC4f3sSE_FDaapz_pT0ShS4gU/edit?usp=drivesdk,1/3/2022,,,
Про сплетни. Оценочность,https://www.youtube.com/watch?v=AKyECRepgAM,Ошибка,https://docs.google.com/document/d/1Vvkm7fB4k_LfS1sr2qHAGS9yM_ZL3oZgUw5TZzRc_ds/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1GOh4tRyS7kPGO9PuUMy4b6OYs7cTBUgvqXVNKSqWuqA/edit?usp=drivesdk,1/3/2022,,,
Межпланетная конкиста. Кто разрушает планету,https://www.youtube.com/watch?v=R4L1Zk-H2qg,Основной вопрос текста: Кто и зачем разрушает нашу планету с целью управления людьми и их действиями?,https://docs.google.com/document/d/1cALJZzsynxcKfVyGUd-hVv9Cc-oP__--3B8Qlm5Wcds/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1UQ9qIhhXpd3n1KxYBkjlIqplu2BaKzuYq8NRgR9FKWg/edit?usp=drivesdk,1/2/2022,,,
Роль России. Манипуляции в политике и в медиа,https://www.youtube.com/watch?v=kwH54pxZLwk,Какова роль России и Путина в современной политике и медиа?,https://docs.google.com/document/d/1RRhrBb6m8n2qnm5nLa-2C7tMOJq5dU8Ipo5lebHXpkM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1SNQ0-HZylN5VO2Duf7Z5dGfOeInJOvy3yVnG0Oeyc-s/edit?usp=drivesdk,1/2/2022,,,
Фильм Матрица.  Манипуляции через медиа,https://www.youtube.com/watch?v=E4fBWMCQATw,"Какие методы чипизации используются системой Матрицы и какие манипуляции через медиа присутствуют в фильме ""Матрица""?",https://docs.google.com/document/d/182tkLx-bUyotin17IUz8H584hOWWbYvgH6F5aE45-G4/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1yjE0B441oT1gru6dvZk12xcVseQVkQ5VMZ9G9qDY5iI/edit?usp=drivesdk,1/2/2022,Шкарубо Лена,,
Новая парадигма. Переход на новый цикл,https://www.youtube.com/watch?v=a17NgjOgqTM,"Каков будет новый мир, когда разрушатся старые парадигмы и какие силы окажут влияние на этот переходный период?",https://docs.google.com/document/d/1bPwNgWB-Tu-DN13MQhpa48-vlbZuxc1eufb3hrlvYjg/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1YSDnHb0skEI5rgj_ZKffWHyyQAkA1M8eGsRB7znoNV4/edit?usp=drivesdk,11/19/2021,,,
Настоящая свобода. Манипуляции в сексуальности,https://www.youtube.com/watch?v=nv-nTBKlPuE,Основной вопрос текста: Что такое настоящая свобода и как влияют на нее манипуляции в сексуальности?,https://docs.google.com/document/d/1berJQW-CDbQf-tixT3LiU-UOILjRqJDqU5QMIJ4bLpo/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1eO9QgzV6Ir6Pq0TQg0h2UU8jBXKUD5Q6_hfQOyZ8wag/edit?usp=drivesdk,8/21/2021,,,
Энергетический чип. Зависимости. Как устроена вселенная,https://www.youtube.com/watch?v=kVezwNOy2RM,Как устроена вселенная и какие виды энергетических чипов влияют на нас в повседневной жизни?,https://docs.google.com/document/d/199oM2_HCztKZqDO6JCsQyQ7CQyjI_OtAiJY0oeou9eY/edit?usp=drivesdk,Done,"Внутренние развитие, Энергетическая защита и очищение, Целительство и Энергетические практики",https://docs.google.com/document/d/1aTtan3AvFlmHiOMD3AxX5iryXyn80z5C8ns5f7gg2G4/edit?usp=drivesdk,8/20/2021,,,
Источник исцеления. Красота простого человека,https://www.youtube.com/watch?v=m5Kj1KTxekk,Каким образом внутренняя сила человека может повлиять на его исцеление и жизненные обстоятельства?,https://docs.google.com/document/d/1X82kQb3PR0P7O7a1O-I-ovPfNlLlDjO6RNNjpWCPh9c/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1iMqeEMQAw0Z_Ih5E0010JtpHsru8gQQa9K8MUzqskds/edit?usp=drivesdk,8/6/2021,,,
Астрономия и гороскопы. Особенный день,https://www.youtube.com/watch?v=3NLGTL7XW8U,"Главный вопрос текста: Как можно настроиться на внутреннее развитие и жить в состоянии покоя, соединяясь с высокими вибрациями и притягивая то, что необходимо, без вмешательства ума и поиском внешних факторов, в контексте астрономии и гороскопов?",https://docs.google.com/document/d/1XRc6f-dqQPcA64RK_GxcJ-j9HiBYLl_96KNJrvfW_Ec/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1pwS7MxKlaGhG8uzn5KMykC11LsStayhFOlloJk50UZ8/edit?usp=drivesdk,8/4/2021,,,
Трансформационные процессы. Ясность. Портал в новый мир,https://www.youtube.com/watch?v=gLRRg5FMzp0,"Как рекомендовать интегрироваться в работу с плантами после возвращения в городную жизнь и работу, учитывая различные языки и возможные неточности и пропуски в переводе текста, использующего искусственный интеллект?",https://docs.google.com/document/d/1DRgKU9Z3LtvLmod74SnhrBFTlolSxZr5NgYHqrqyqWQ/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1kuP1_Mm6xRSNFJKcUp60CPYOf4S9PrUJVERRXaHUzWA/edit?usp=drivesdk,7/12/2021,,,
